0  0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1  0.5  0 0 0.000167122107512948 0 -0.000347583276358219 -0.00482155791201801 0 0.00277309305954708 0.00149497205096992 -0.000172066117036667 0 0.00034912193913998 -0.000927861083729331 0.000433159837596059 0.000229370039640031 0 0.00054142753032731 0.00107862101125392 -0.000287348035097073 -0.000331079065565705 -0.0002596270728018 0 0.0004898163441525 -0.00111405666729928 -0.000468863221176972 0.000404410938912366 7.80215900118818e-05 -0.000411068697926773 0 0.000520914366937833 -0.000306932903780724 -0.000323713355795487 -0.00135523249798127 -0.00063720484528869 0.00114414337066957 -0.00240896056627174 0 -0.00101103873971813 0.00090876754164808 -0.000250876102446897 -0.000271916438054929 -0.00074207235852287 0.000535980108064239 -0.00114535963149841 -0.0571905787163134  0 0 0.000205338170865142 0 -0.000231045384782438 -0.00320443957386794 0 0.00185315062951931 0.000964778540500103 -0.000113762188684501 0 0.000220657308012398 -0.000640530143214343 0.000335464642770014 0.00036029416136489 0 0.000367276556982215 0.000716228932814684 0.000165127238333629 -0.000160693841007722 -0.000196364002905629 0 0.000322231735494651 -0.000767009587702582 -0.000270505225913403 0.000285597628648049 7.4061733969681e-05 -0.000325522018449026 0 0.000900387230363334 -0.000590457358569693 0.000233042600388404 -0.001017569494062 -0.00026745711367548 0.0010356261302052 -0.00108504162763835 0 -0.000373217550427208 0.000369141646885546 -0.00132840827591274 -0.000292596005205209 -0.000556744101763961 -0.000498031565094349 -0.00151843410011622 -0.0393406962213877
2  1  0 0 -0.000159521957042826 0 -0.000378918009591468 0.00603005838909849 0 -0.00332108996302483 -0.00259401071908605 -0.000225112410870259 0 -0.000715903818312789 0.000757550296091354 0.00025829677582419 -0.000113441311172959 0 -0.00106849667822581 -0.000669459716036246 0.000208344515525923 -0.000293897661116874 -0.000344904216591672 0 -0.00075147247674912 0.00145847624243173 -0.000298756083486262 0.000200765367200383 6.17472610116984e-05 -0.000263728666140735 0 -0.00160753089104781 0.000667853495109349 0.000164384396211527 0.000145394964665379 0.000642805629184148 -0.000632469013343638 0.00106469160535802 0 0.000501795577062042 -0.000156911673910205 0.00142739916521327 0.000953972818811511 0.000896710680765857 -0.000224787955187793 0.00317182919534902 -0.0336894239060725  0 0 2.4374178714251e-05 0 -0.000326091978227771 0.00294879816520115 0 -0.00160671237839888 -0.00138620750151036 -0.000186237012285584 0 -0.00039936706518079 0.000300833494396167 0.000299872407601192 0.000190653601606726 0 -0.000611099078065826 -0.000197119819741842 0.000478996246224029 -0.000209415316890927 -0.000322811028103171 0 -0.000383748230103833 0.000746467377963091 -0.000259840049640482 0.000254020988622817 8.90772691563103e-05 -0.000318312246302057 0 -0.000975066117222258 0.00039708853463385 0.000665060956444512 -0.000867813622635448 -0.000112545469791531 0.00115830032824652 -0.00088030655188079 0 -0.000249698903128826 0.000211292519744544 0.000717626438444929 0.000497212087092878 0.00056567722299805 -0.000309151894929203 0.00185121992408894 -0.035805680253777
3  1.5  0 0 -0.000317046654637408 0 0.00150622589190334 -0.00551491726510681 0 0.00282521498093206 0.0032930497018424 -0.000265839431494111 0 0.00103359213699904 -0.000104373438875942 0.000256057430272069 -0.00026873107276898 0 0.00150789856786737 -0.000382810976031877 0.000442618237328353 -0.000358846972189223 -0.000444157052161183 0 0.000966180884552099 -0.0015085101192978 -0.000282308903201198 0.000140828255258736 5.37560048115289e-05 -0.000259937735062471 0 0.00208072154757733 -0.000177783334933017 -0.000301621874204806 -0.000319154907677051 0.000300684115807563 -0.00045901739622855 -0.000296708266537594 0 -2.31735243698537e-05 0.000171833174303449 -0.00133231644678274 -0.0011643662084595 -0.000954253278241476 0.000835931119149972 -0.00404630771725514 0.0605466948706481  0 0 -0.000151472949604434 0 0.000887833777245705 -0.00268776808949164 0 0.00136814082423967 0.00171488758461623 -0.000246210254340467 0 0.000558163082974921 3.38997185359027e-05 0.000273300928055634 3.47748257488489e-05 0 0.000806639792936903 -0.000321391703120371 0.000818114738728786 -0.000282187803317572 -0.000464425763112719 0 0.000514396827479096 -0.000784833517643168 -0.000250797104430227 0.000202156319335227 8.38925051608193e-05 -0.000324531253104429 0 0.00108779118037029 5.46468268386568e-05 0.00068704709112365 -0.000773010497202608 -1.36532856178643e-05 0.000666596307809914 -0.00106359185656328 0 -0.000297994991256844 6.83171157136281e-05 -0.000622358972075863 -0.000469671037821766 -0.000559555681559666 0.000589665284689288 -0.00194006783066644 0.0282749293096612
4  2  0 0 -0.000441868255010458 0 -0.000682860602999739 0.00127419710908115 0 -0.000499860015673011 -0.000712889882431042 -0.000338753503130138 0 -0.000119314325163637 0.000423571870687649 0.000262936651704413 -0.000383048184890909 0 -0.000567088135935679 0.000332466871590745 0.000649445335689898 -0.000434725497231334 -0.00054787224170229 0 3.11057958459271e-05 0.000404850380675755 -0.000263281167122031 7.05532358165385e-05 2.73908800580703e-05 -0.000223319980369787 0 -0.000705125404933258 0.0002220608477552 -0.000181974639055621 -0.000439023108780259 0.000343493948806776 -0.000524002513344107 -0.000382249396489975 0 0.000129158921863071 3.393715600774e-05 0.000524784452740188 0.000480685950795069 3.12763236109968e-05 0.000186303382794799 0.00118352281629763 -0.0132401868440057  0 0 -0.000372122275733953 0 -0.000157303724021072 -4.76703983670768e-05 0 0.00011782660591205 0.000103004066878089 -0.000308183259134889 0 0.000107460824724512 0.000291849690520674 0.000258268577559209 -0.000315006364591571 0 -0.000106179467437016 0.000116430276778764 0.000544814527388578 -0.000398438392741987 -0.000498995302599525 0 0.000191925901720505 1.45863919200153e-05 -0.000264177097578874 0.0001038289257845 3.15243961391271e-05 -0.000236852274699837 0 -0.000111726329127668 0.000144516398169674 -0.000174326090894796 -0.000381498767725244 0.000329136783173533 -0.000481044063487152 -0.000304745928283714 0 9.66388684155902e-05 7.03617982961747e-05 0.000151346617468405 0.000131698954208995 -0.000140263448163194 0.000316068352291942 9.16406541976597e-05 0.000724152814813776
5  2.5  0 0 -0.000552875252168725 0 -0.00435783076911718 0.00274357671433369 0 0.000167932893277781 5.80962308978486e-05 -0.00355188338590665 0 9.30959690467835e-05 0.000353622092267092 -7.08330028650547e-05 -0.00045608843716824 0 -0.00100699033549273 0.00390251092252626 0.000672171990156579 0.00197214734859152 0.0136114127648896 0 0.000167157785802781 1.19613709000923e-08 5.70237315728034e-05 8.17745740440433e-06 6.29500488241664e-06 0.000257679698222721 0 -2.23557429980374e-05 9.9199985849639e-05 0.0363266571056614 -0.000575923013082254 -5.50983394032729e-05 -0.0406558437839822 -0.000356560336456777 0 6.70971378699e-05 5.31290005441835e-05 -0.0142235905514356 0.000184369331853895 -0.00010891313985471 0.0150284578199596 0.000104878144085662 0.000459273904494824  0 0 -0.000579681792204917 0 -0.00296187522850037 0.00190235751216045 0 5.17372123703495e-05 0.000170042360730394 -0.0026291733685985 0 3.29320727909429e-05 0.000681677077839567 0.000358082171955266 -0.000284414472742663 0 -0.000579358440005387 0.00258950132005177 -0.00564300411547291 0.00170528095634179 0.00917856952574032 0 0.000171217335388455 2.64819589103858e-05 -0.000217511905053935 3.1914051119111e-05 1.39476034166689e-05 -5.64806268283827e-06 0 0.000640891059671532 0.000691833651656814 0.0245656516824454 -0.000803639557434566 0.00421970555495217 -0.0265604900026058 -0.000435577594807124 0 -0.000191542333524285 -0.000148012707613073 -0.00965492172158146 0.000295387102372214 -0.00167021987953148 0.0103722798769699 0.000147875233031527 -0.00768550509758588
6  3  0 0 -0.000672463792992971 0 0.000588616648952229 -0.00114395905199834 0 0.000138951614517553 7.14603790116766e-05 0.00192509721506884 0 3.51002730650384e-05 0.000466551712032807 -0.000225438503665731 -0.000552721032691106 0 0.000142001686414614 -0.000414437727406415 0.00241862197705138 0.000273487684405914 -0.00318923010048205 0 0.000139198822512236 -9.15334178471907e-06 -8.58564004900542e-05 -4.93885712594377e-05 8.63079854881635e-07 0.000125894917220526 0 0.000195840733399707 0.000579844922489562 -0.0120967413981913 -0.000478352636678615 0.000630021403786113 0.0139558897156801 -0.000447540548020428 0 4.16025843407432e-05 -0.000180408883378545 0.00484739066806372 0.000199477945503803 -0.000191519062115467 -0.00513117088566718 0.000143931469439729 -0.000204637750059955  0 0 -0.000606208240542033 0 -0.00059416850267588 -0.000151512643205966 0 0.000153736669129132 8.03602994740151e-05 0.000467023727653601 0 5.84793505603482e-05 0.000428396677434531 -0.000118799488928598 -0.000477705235846474 0 -0.000130104535623447 0.000599734242355748 0.00186061990422109 0.000584362665296002 0.000873462354236558 0 0.000147088978309525 -4.68154834683337e-06 -7.68320211845587e-05 -3.08521645764817e-05 -1.43568936417955e-06 0.000122141285556276 0 0.000118277374149676 0.000413870897821214 -5.61863170118964e-05 -0.000481463437460504 0.000454851043357361 0.000269460110076342 -0.000422964962668516 0 5.37505357624444e-05 -9.34088635748552e-05 0.000103771385460896 0.000185746038271859 -0.00017326586046551 -6.68031978403551e-05 0.000127764359567558 -6.49566754866255e-05
7  3.5  0 0 -0.000705900159081823 0 0.00452138317752269 -0.00261878912707841 0 0.000247901376474477 -0.00365816346123751 0.000460924031715913 0 -0.00150685908711161 -0.00125401759995584 -0.00013296046542139 -0.000599687496460679 0 0.00243743820973106 -0.00406525572774142 0.00226220111437608 0.000814034751481471 0.00101432871873969 0 -0.000398529175079319 0.00108648141464096 -8.32354431111674e-05 -0.00010380968946176 -2.80222999382817e-05 0.000131548620632764 0 -0.00229695187054476 -0.00181688054928299 -0.000110546482897046 -0.000539842294129027 0.000629964365441479 0.000200434108913715 -0.000317548168721886 0 0.000152070666032449 0.000256311506459003 -0.000698432184155447 0.000491437597054628 0.000728044389597466 0.000590602957965992 0.00323139744014212 -0.0427133613073321  0 0 -0.000691322782561392 0 0.00285297310908265 -0.00188164785776586 0 0.00019620294250868 -0.00239028082873105 0.000465653171297415 0 -0.000987532210397328 -0.000730962349893988 -0.000124483415103147 -0.000349241384131799 0 0.00151191724781414 -0.00249208081949888 0.00250953432318693 0.000730497770310634 0.00104198875826446 0 -0.00020024210198798 0.000715645447602339 -7.47692085802081e-05 -9.65816258566474e-05 -1.14644126633274e-05 0.000154507267332065 0 -0.00158665128315547 -0.00107140465957227 -0.00116239264517616 -0.000517289715652551 0.000425724022099638 -0.000884684627241909 -0.00134118901427132 0 -0.000432670007121994 -0.000408324013199538 -0.000369916715864002 5.85715116012738e-05 0.000534778720531813 0.000428605203163219 0.00213783164715661 -0.0287724510243007
8  4  0 0 0.00156637138696835 0 -0.00776657930910775 0.002908749992611 0 0.000507370002072633 0.00116609085568927 0.00145544042434272 0 0.000474919699355892 0.000581116426560603 0.00103104517631531 0.00170349547407445 0 -0.00228708489475084 0.00744902483433024 -0.000818602655623459 -0.00117087382231667 -0.0192468992381214 0 0.000234502897050742 -0.000343893515165288 0.000243136772081778 -0.000105197640039327 3.01883979962923e-05 -0.000829307763201677 0 0.0006951395485458 0.000756640329731659 -0.0370337193719284 -0.00112389199753103 0.000376977888436158 0.0378213854150672 -1.67230664513789e-05 0 -9.38911208728324e-05 0.000152236407079419 -0.0103524328229831 -0.000505920624181578 -0.000573756324429447 0.0110822752608431 -0.00113499369076126 0.0221654734607644  0 0 0.000707688689917455 0 -0.0042087360740811 0.00125926402236502 0 0.000472536388496873 -8.18300171707453e-05 0.00132356583992568 0 0.000164168098595403 -0.000633957011649816 6.86171598340542e-05 0.0010631434709751 0 -0.00105659028209591 0.00420041195332203 -0.00442435375759183 -0.00115667934527979 -0.0128722567029546 0 0.000105194092382629 -3.62237415725257e-05 0.00024163630686997 -0.00013718101650418 -9.10863686925943e-05 -0.000398950874555967 0 -0.000981094054416572 -0.00107363451070104 -0.0249986512330948 -0.00108758509379618 0.0053276425945134 0.0256136643445597 -0.000339267403910042 0 -0.000291779563290589 -0.000226387908785401 -0.00574143504167518 -0.000187173787696614 0.00122943230700431 0.0056015875881588 -9.32420666485933e-05 0.0110889630290444
9  4.5  0 0 -0.00173095036401624 0 0.00808594989665415 -0.00268283554557639 0 -0.00133011359427326 0.00375712514206231 -0.000903418437986253 0 0.00183426376915447 0.00190988752163704 -0.000468630789735429 -0.00188153220602006 0 0.00222318906360634 -0.00798556269431801 0.00181714519376906 4.05694644283442e-05 0.00521777429859314 0 4.09217884399681e-05 -3.76424500300893e-06 -0.000854617243016961 -0.0023283813124 0.000676199112360388 0.00116639905785992 0 -0.000198160322331093 0.000163046772989635 0.0486059889922004 -0.00285509008280502 0.00899666274981487 -0.050307949290847 -0.000132147076114601 0 0.000476934993921014 0.000330831061467813 0.00409664292274178 -0.000279659656232353 -1.79194568348629e-05 -0.00481533126291993 7.23474778315769e-05 0.0193063067388592  0 0 -0.000963954340449405 0 0.0039503061337644 -0.00139968266590472 0 -0.000681497706681778 0.00246847488938008 -0.00098048593896295 0 0.00121543736050631 0.00137121677474002 0.000624962711654697 -0.000984726358519709 0 0.00107723783313513 -0.00389820605130075 -0.00241014433203833 0.000839922317172263 -0.00779901253145335 0 4.85472205206328e-05 3.36358987563519e-05 -0.000614989091217795 -0.00154576985049871 0.00056142268455861 0.000476936051771696 0 -0.00105139274489147 -0.000983459048322407 0.0249898752839011 -0.0023341603082755 0.00558735700986598 -0.0242040573396481 -0.000576300840661246 0 0.000331338079082572 0.000188092732688853 -0.00402516720547574 0.000389718475310496 -0.00134654060847692 0.00453048149946127 6.27094239683107e-05 0.0149246475653739
